objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,primaryImage,primaryImageSmall,isHighlight,isPublicDomain
436000,Village Festival,European Paintings,Prints,American,Drypoint,1755,1755,1759,Harriet Hosmer,American,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100000-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100000-001.jpg,True,True
436001,Mountain View at Sunset,European Paintings,Paintings,Netherlandish,Oil on panel,1959,1959,1960,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100001-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100001-001.jpg,False,True
436002,Studies of Hands and Drapery,European Paintings,Paintings,Italian,Oil on panel,1829,1829,1832,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100002-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100002-001.jpg,False,True
436003,Portrait of a Noblewoman by Cassatt,European Paintings,Paintings,American,Tempera on wood,1723,1723,1726,Mary Cassatt,American,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100003-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100003-001.jpg,True,True
436004,Still Life with Flowers,European Paintings,Paintings,French,Oil and acrylic on canvas,1526,1526,1531,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100004-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100004-001.jpg,False,True
436005,Landscape with River,European Paintings,Prints,French,Lithograph on paper,1523,1523,1528,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100005-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100005-001.jpg,False,True
436006,Allegory of Spring,Modern and Contemporary Art,Drawings,French,Charcoal on paper,1559,1559,1564,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100006-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100006-001.jpg,True,True
436007,Still Life with Flowers,European Paintings,Paintings,French,Oil and acrylic on canvas,1883,1883,1886,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100007-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100007-001.jpg,False,True
436008,Still Life with Flowers,European Paintings,Prints,British,Etching and engraving,1844,1844,1847,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100008-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100008-001.jpg,False,True
436009,Mountain View at Sunset,European Paintings,Prints,Italian,Etching and engraving,1848,1848,1850,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100009-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100009-001.jpg,False,True
