objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,artistBeginDate,artistEndDate,primaryImage,primaryImageSmall,tags,creditLine,isHighlight,source_harvest
322361,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 147–191 CE,147,191,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-039.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-039.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
322612,Relief fragment: Assyrian soldier conducting captives across the water,Ancient West Asian Art,,Assyrian,Gypsum alabaster,ca. 668–627 BCE,-668,-627,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-12499-020.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-12499-020.jpg,Soldiers;Men;Boats,"Gift of John D. Rockefeller Jr., 1932",False,results_harvest_17_departments/met_metadata.csv
322362,Tetradrachm,Ancient West Asian Art,,Parthian,Silver,ca. 212–213 CE,212,213,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-041.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-041.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
322620,Assyrian Crown-Prince,Ancient West Asian Art,,Assyrian,Gypsum alabaster,ca. 704–681 BCE,-704,-681,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13006-005.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13006-005.jpg,Princes;Men,"Gift of John D. Rockefeller Jr., 1932",False,results_harvest_17_departments/met_metadata.csv
325979,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 100–50 BCE,-105,-50,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-003.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-003.jpg,Men;Profiles,"Purchase, H. Dunscombe Colt Gift, 1969",False,results_harvest_17_departments/met_metadata.csv
701203,Sampler,The American Wing,,,Silk embroidery on linen,ca. 1802,1799,1805,Ann Magdalen Yates,American,Female,1790.0,,https://images.metmuseum.org/CRDImages/ad/original/DP701374.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP701374.jpg,Houses;Women;Trees,"Friends of the American Wing Fund, 2015",False,results_harvest_17_departments/met_metadata.csv
324923,Chair back carved in relief,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th century BCE,-800,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/MMA  59-107-3  01b.jpg,https://images.metmuseum.org/CRDImages/an/web-large/MMA  59-107-3  01b.jpg,,"Rogers Fund, 1959",False,results_harvest_17_departments/met_metadata.csv
323955,Jar with ibexes,Ancient West Asian Art,,Iran,"Ceramic, paint",ca. 2600–2500 BCE,-2600,-2500,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-31256-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-31256-001.jpg,Ibex,"Rogers Fund, 1943",False,results_harvest_17_departments/met_metadata.csv
325978,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 100–50 BCE,-105,-50,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-001.jpg,Men;Profiles,"Purchase, H. Dunscombe Colt Gift, 1969",False,results_harvest_17_departments/met_metadata.csv
325567,Furniture plaque carved in relief with a female figure,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110693.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110693.jpg,Women,"Rogers Fund, 1962",False,results_harvest_17_departments/met_metadata.csv
