objectID,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,mean_value_score
436102,Virgin and Child with Four Angels,Gerard David,female,16th c. CE,painting,389,625,0.62,-0.001904528122395277,0.04839509469456971,-0.0038858664920553565,0.014201566693373024
268303,Album di disegni fotogenici,William Henry Fox Talbot,female,19th c. CE,print,491,625,0.79,-0.008607554598711431,0.012334569124504924,-0.10322102811187506,-0.03316467119536052
436432,Queen Charlotte,Thomas Gainsborough,female,18th c. CE,painting,464,625,0.74,-0.0007922083605080843,-0.019465762190520763,-0.001976165804080665,-0.007411378785036504
269434,Thomas Carlyle,Julia Margaret Cameron,female,19th c. CE,print,503,624,0.81,-3.694501629070146e-05,-4.0228376747108996e-05,-0.00036561733031703625,-0.0001475969077849489
435702,The Horse Fair,Rosa Bonheur,female,19th c. CE,painting,599,306,1.96,-0.0014019720256328583,0.007706628413870931,0.0009804550791159272,0.002428370489118
436101,The Rest on the Flight into Egypt,Gerard David,female,16th c. CE,painting,480,624,0.77,-0.004095784854143858,0.04653220344334841,-0.0005982720758765936,0.013946048837775985
436099,The Nativity with Donors and Saints Jerome and Leonard,Gerard David,female,16th c. CE,painting,600,369,1.63,-0.008421438047662377,0.09435441624373198,-0.030613288283348083,0.018439896637573838
268706,"Henry Taylor. Author of ""Philip Van Artevelde""",Julia Margaret Cameron,female,19th c. CE,print,522,624,0.84,-0.000587512127822265,0.0010214657086180523,-0.00128804927226156,-0.0002846985638219242
459061,"Christ Carrying the Cross, with the Crucifixion; The Resurrection, with the Pilgrims of Emmaus",Gerard David,female,16th c. CE,painting,430,624,0.69,-0.015373973175883293,0.10887371934950352,0.005399396643042564,0.032966380938887596
459062,Archangel Gabriel; The Virgin Annunciate,Gerard David,female,16th c. CE,painting,430,624,0.69,-0.005182751454412937,0.03904707636684179,-0.018175175180658698,0.0052297165772567196
436098,The Crucifixion,Gerard David,female,15th c. CE,painting,476,624,0.76,-0.008689453825354576,0.10344443190842867,-0.002044648863375187,0.030903443073232967
824771,Marie Antoinette in a Park,Elisabeth Louise Vigée Le Brun,female,18th c. CE,drawing_paper,432,624,0.69,-0.0007700567948631942,-0.002330737537704408,-0.013826538226567209,-0.00564244418637827
436453,Esther before Ahasuerus,Artemisia Gentileschi,female,17th c. CE,painting,600,459,1.31,-0.015944363549351692,0.27556914184242487,0.0010959198698401451,0.08690689938763778
711370,"Patio de los Arrayanes, Alhambra, Granada, Spain",Alphonse Delaunay,female,19th c. CE,print,599,463,1.29,-0.0006660340732196346,0.013193563849199563,-0.008377882091735955,0.0013832158947479911
437898,"Madame Grand (Noël Catherine Vorlée, 1761–1835)",Elisabeth Louise Vigée Le Brun,female,18th c. CE,painting,495,624,0.79,-0.0010422514751553535,0.009565452113747597,-0.007743406808003783,0.00025993127686281997
436100,The Nativity,Gerard David,female,15th c. CE,painting,481,624,0.77,-0.010743348393589258,0.05044873245060444,-0.04862675513140857,-0.0029737903581311307
282044,Sappho,Julia Margaret Cameron,female,19th c. CE,print,451,625,0.72,-0.00016561883967369795,0.0033707081456668675,-0.0010753324022516608,0.0007099189679138362
437900,"Comtesse de la Châtre (Marie Charlotte Louise Perrette Aglaé Bontemps, 1762–1848)",Elisabeth Louise Vigée Le Brun,female,18th c. CE,painting,488,624,0.78,0.0004612719640135765,-0.011342017911374569,-0.0021905601024627686,-0.004357102016607921
286007,"""The Prettiest Doll in the World""",Lewis Carroll,female,19th c. CE,print,470,624,0.75,-0.0004045540699735284,0.0008083046595857013,-0.000886336449184455,-0.0001608619531907607
268710,Herr Joachim,Julia Margaret Cameron,female,19th c. CE,print,447,625,0.72,-2.274379221489653e-05,0.0010043932998087257,-0.0005329702398739755,0.00014955975590661788
436097,Christ Taking Leave of His Mother,Gerard David,female,15th c. CE,painting,503,624,0.81,-0.017455320805311203,0.358414001762867,-0.05588987097144127,0.09502293666203816
383358,"The Washington Family: George Washington, His Lady, and her Two Grandchildren by the Name of Custis–George Washington, Son Epouse, et Ses Deux petits Enfants du Nom de Custis",Edward Savage,female,18th c. CE,print,599,482,1.24,-0.010099451756104827,0.002762243850156665,-0.008803232572972775,-0.005380146826306979
436840,"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761–1818) and Marie Marguerite Carraux de Rosemond (1765–1788)",Adélaïde Labille-Guiard,female,18th c. CE,painting,462,624,0.74,-0.002398301148787141,0.010067260824143887,-5.87262911722064e-05,0.0025367444613948464
10810,Arcadia,Thomas Eakins,female,19th c. CE,painting,599,510,1.17,-0.0010831933468580246,0.016746907494962215,0.004905215406324714,0.0068563098514763015
459253,Holy Face,Gerard David,female,15th c. CE,painting,376,624,0.6,-0.010574817657470703,0.011456072330474854,-0.041822850704193115,-0.013647198677062988
439327,Christ Blessing,Gerard David,female,16th c. CE,painting,450,624,0.72,-0.0023607444018125534,0.012244772166013718,-0.012969810049980879,-0.0010285940952599049
436096,The Annunciation,Gerard David,female,16th c. CE,painting,599,363,1.65,-0.0082174320705235,0.19141056574881077,-0.0024922131560742855,0.06023364017407099
436440,Cottage Children (The Wood Gatherers),Thomas Gainsborough,female,18th c. CE,painting,510,624,0.82,-0.002141423989087343,0.006283761467784643,-0.0016660155379213393,0.0008254406469253203
436657,"Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,male,16th c. CE,painting,455,624,0.73,-0.0003749372554011643,0.0020061274990439415,-0.0035157266829628497,-0.0006281788131066909
437396,Hendrickje Stoffels (1626–1663),Rembrandt (Rembrandt van Rijn),male,17th c. CE,painting,551,624,0.88,-0.0013953447341918945,0.0037691686302423477,-0.0009415095555596054,0.00047743811349694926
438817,The Dance Class,Edgar Degas,male,19th c. CE,painting,579,624,0.93,-0.0009270483860746026,0.011954901739954948,-0.0005027193110436201,0.0035083780142789087
435882,Still Life with Apples and a Pot of Primroses,Paul Cézanne,male,19th c. CE,painting,600,476,1.26,-0.0013744018506258726,-0.008047208189964294,-0.001909350510686636,-0.003776986850425601
334013,"Humility versus Pride; a young man imploring an older man with other figures in front of them; folio 75 (recto) from the Madrid Album ""B""",Goya (Francisco de Goya y Lucientes),male,18th c. CE,other,393,625,0.63,-0.007747262250632048,0.009310911875218153,0.01414431817829609,0.0052359892676273985
436244,Virgin and Child with Saint Anne,Albrecht Dürer,male,16th c. CE,painting,524,625,0.84,-0.000915764831006527,0.08230160363018513,-0.002192731248214841,0.02639770251698792
437330,Saints Peter and John Healing the Lame Man,Nicolas Poussin,male,17th c. CE,painting,599,453,1.32,-0.0038063424290157855,0.018121082335710526,0.0006877591367810965,0.0050008330144919455
436120,The Old Italian Woman,Edgar Degas,male,19th c. CE,painting,509,625,0.81,-0.0003760523395612836,-0.016237141331657767,-0.006563453760463744,-0.007725549143894265
435744,Virgin and Child with the Young Saint John the Baptist and Angels,François Boucher,male,18th c. CE,painting,526,624,0.84,-0.001579721923917532,0.007342181168496609,-0.004704121849499643,0.0003527791316931446
437984,"La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)",Vincent van Gogh,male,19th c. CE,painting,496,624,0.79,-0.0012116753496229649,0.007297489792108536,-0.010756554605904967,-0.0015569133878064652
360413,"Plate 7 from ""Los Caprichos"": Even thus he cannot make her out (Ni asi la distingue)",Goya (Francisco de Goya y Lucientes),male,18th c. CE,print,459,624,0.74,-0.0050380154279991984,0.013306478329468518,-0.017543694470077753,-0.003091743856202811
436106,"Antoine Laurent Lavoisier (1743–1794) and Marie Anne Lavoisier (Marie Anne Pierrette Paulze, 1758–1836)",Jacques Louis David,male,18th c. CE,painting,474,624,0.76,-0.003914612345397472,-0.008025527000427246,0.005668459460139275,-0.002090559961895148
436039,The Martyrdom of Saint Barbara,Lucas Cranach the Elder,male,16th c. CE,painting,562,624,0.9,-0.008251373656094074,0.15130444522947073,0.0011007077991962433,0.048051259790857635
436965,The Monet Family in Their Garden at Argenteuil,Edouard Manet,male,19th c. CE,painting,599,377,1.59,0.00037254299968481064,0.005479132756590843,0.0013495918246917427,0.002400422526989132
437819,Doge Alvise Mocenigo (1507–1577) Presented to the Redeemer,Jacopo Tintoretto (Jacopo Robusti),male,16th c. CE,painting,599,295,2.03,-0.004148382227867842,0.004554590210318565,-0.0003970954567193985,3.037508577108383e-06
435844,The Musicians,Caravaggio (Michelangelo Merisi),male,16th c. CE,painting,599,465,1.29,-0.004478291608393192,0.18132705381140113,-0.0014566846657544374,0.058464025845751166
436038,Judith with the Head of Holofernes,Lucas Cranach the Elder,male,16th c. CE,painting,436,624,0.7,-0.0019441678887233138,0.011721189133822918,-0.0499121606699191,-0.013378379808273166
436142,Fan Mount: Dancers,Edgar Degas,male,19th c. CE,drawing_paper,598,313,1.91,-0.004740965203382075,0.008565939962863922,-0.02581409295089543,-0.007329706063804527
436243,Salvator Mundi,Albrecht Dürer,male,16th c. CE,painting,508,625,0.81,-0.005160371772944927,-0.052666112780570984,-0.0039003673009574413,-0.02057561728482445
436004,The Woman in the Waves,Gustave Courbet,male,19th c. CE,painting,516,625,0.83,0.0019317567348480225,0.007704542018473148,0.003476515004877001,0.004370937919399391
436449,The Siesta,Paul Gauguin,male,19th c. CE,painting,599,459,1.31,-8.113821968436241e-05,0.00761568546295166,0.003247805085266009,0.0035941174428444356
437875,Portrait of a Man,Velázquez,male,17th c. CE,painting,511,625,0.82,-0.0003317503724247217,-0.009566210675984621,-0.0006940236198715866,-0.003530661556093643
436658,Hermann von Wedigh III (died 1560),Hans Holbein the Younger,male,16th c. CE,painting,480,625,0.77,-0.0005590106884483248,-0.002561379224061966,-0.002503921976312995,-0.001874770629607762
