objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,primaryImage,primaryImageSmall,isHighlight,isPublicDomain,inferred_gender,century,medium_category
436000,Village Festival,European Paintings,Prints,American,Drypoint,1755,1755,1759,Harriet Hosmer,American,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100000-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100000-001.jpg,True,True,female,18th c. CE,other
436003,Portrait of a Noblewoman by Cassatt,European Paintings,Paintings,American,Tempera on wood,1723,1723,1726,Mary Cassatt,American,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100003-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100003-001.jpg,True,True,female,18th c. CE,painting
436005,Landscape with River,European Paintings,Prints,French,Lithograph on paper,1523,1523,1528,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100005-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100005-001.jpg,False,True,male,16th c. CE,print
436006,Allegory of Spring,Modern and Contemporary Art,Drawings,French,Charcoal on paper,1559,1559,1564,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100006-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100006-001.jpg,True,True,male,16th c. CE,drawing_paper
436007,Still Life with Flowers,European Paintings,Paintings,French,Oil and acrylic on canvas,1883,1883,1886,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100007-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100007-001.jpg,False,True,female,19th c. CE,painting
436008,Still Life with Flowers,European Paintings,Prints,British,Etching and engraving,1844,1844,1847,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100008-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100008-001.jpg,False,True,male,19th c. CE,print
436010,Study of a Young Woman,European Paintings,Paintings,French,Oil and acrylic on canvas,1486,1486,1489,Camille Claudel,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100010-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100010-001.jpg,True,True,female,15th c. CE,painting
436012,Allegory of Spring,European Paintings,Paintings,Dutch,Tempera on wood,1886,1886,1888,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100012-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100012-001.jpg,False,True,female,19th c. CE,painting
436013,Village Festival,European Paintings,Paintings,Dutch,Tempera on wood,1650,1650,1654,Rembrandt van Rijn,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100013-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100013-001.jpg,True,True,male,17th c. CE,painting
436014,Allegory of Spring,European Paintings,Paintings,Netherlandish,Oil and acrylic on canvas,1651,1651,1656,Jan van Eyck,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100014-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100014-001.jpg,True,True,male,17th c. CE,painting
