objectID,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,mean_value_score
436000,Village Festival,Harriet Hosmer,female,18th c. CE,other,492,624,0.79,-0.012678753584623337,-0.3410821557044983,0.01177676860243082,-0.11399471356223027
436003,Portrait of a Noblewoman by Cassatt,Mary Cassatt,female,18th c. CE,painting,472,625,0.76,0.14492028951644897,-0.5895128846168518,0.0006555395666509867,-0.14797901851125062
436005,Landscape with River,Édouard Manet,male,16th c. CE,print,599,489,1.22,0.11848588287830353,-0.057618819177150726,0.0014332265127450228,0.02076676340463261
436006,Allegory of Spring,Édouard Manet,male,16th c. CE,drawing_paper,599,415,1.44,0.2035597711801529,-0.0032137874513864517,0.0008326489478349686,0.0670595442255338
436007,Still Life with Flowers,Marie-Gabrielle Capet,female,19th c. CE,painting,493,625,0.79,0.3411906361579895,-0.07491345703601837,0.0006487853243015707,0.0889753214820909
436008,Still Life with Flowers,Thomas Gainsborough,male,19th c. CE,print,416,625,0.67,0.008964168839156628,-0.24068039655685425,0.0017032617470249534,-0.07667098865689088
436010,Study of a Young Woman,Camille Claudel,female,15th c. CE,painting,600,493,1.22,0.020920701324939728,-0.1285160630941391,0.00016736674297135323,-0.03580933167540934
436012,Allegory of Spring,Judith Leyster,female,19th c. CE,painting,600,450,1.33,0.19217202067375183,-0.0562349371612072,0.004066632594913244,0.04666790536915263
436013,Village Festival,Rembrandt van Rijn,male,17th c. CE,painting,600,486,1.23,0.0413430891931057,-0.007810488343238831,0.00041647531907074153,0.011316358722979203
436014,Allegory of Spring,Jan van Eyck,male,17th c. CE,painting,599,379,1.58,0.11604300141334534,-0.12086674571037292,0.00021948758512735367,-0.0015347522373000781
436017,Bust of a Woman,Francisco Goya,male,18th c. CE,painting,519,624,0.83,0.10069213807582855,-0.006383568048477173,0.013683827593922615,0.035997465873757996
436019,Mythological Scene,J.M.W. Turner,male,17th c. CE,painting,506,624,0.81,-0.005755461752414703,-0.03809444606304169,0.0016928781988099217,-0.014052343205548823
436020,Mythological Scene,Auguste Rodin,male,19th c. CE,drawing_paper,600,490,1.22,0.11837276071310043,-0.14738941192626953,0.0010230697225779295,-0.009331193830197057
436021,Landscape with River,Élisabeth Louise Vigée Le Brun,female,16th c. CE,painting,599,489,1.22,0.24518898129463196,-0.016667885705828667,0.00176508747972548,0.07676206102284293
436022,Village Festival,Hans Holbein the Younger,male,17th c. CE,painting,388,625,0.62,0.17592662572860718,-0.4634650647640228,0.00028762780129909515,-0.09575027041137218
436025,Landscape with River,Rosalba Carriera,female,19th c. CE,painting,600,480,1.25,0.02251449041068554,-0.34797751903533936,0.00038370018592104316,-0.10835977614624426
