century,female,male,unknown
10th c. BCE,0.0,0.0,100.0
10th c. CE,0.0,0.0,100.0
11th c. CE,0.0,0.0,100.0
13th c. CE,0.0,0.0,100.0
14th c. CE,18.75,18.75,62.5
15th c. CE,3.4482758620689653,44.827586206896555,51.724137931034484
16th c. CE,0.0,61.53846153846154,38.46153846153847
17th c. CE,0.0,10.526315789473683,89.47368421052632
18th c. CE,16.666666666666664,16.666666666666664,66.66666666666666
19th c. CE,10.256410256410255,25.64102564102564,64.1025641025641
20th c. CE,100.0,0.0,0.0
2th c. BCE,0.0,0.0,100.0
2th c. CE,0.0,0.0,100.0
3th c. BCE,0.0,0.0,100.0
3th c. CE,33.33333333333333,0.0,66.66666666666666
4th c. BCE,0.0,0.0,100.0
4th c. CE,100.0,0.0,0.0
5th c. CE,100.0,0.0,0.0
6th c. CE,0.0,0.0,100.0
7th c. CE,25.0,0.0,75.0
8th c. CE,33.33333333333333,0.0,66.66666666666666
unknown,0.0,0.0,100.0
