objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,artistBeginDate,artistEndDate,primaryImage,primaryImageSmall,tags,creditLine,isHighlight,source_harvest,inferred_gender,century,medium_category
701203,Sampler,The American Wing,,,Silk embroidery on linen,ca. 1802,1799,1805,Ann Magdalen Yates,American,Female,1790.0,,https://images.metmuseum.org/CRDImages/ad/original/DP701374.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP701374.jpg,Houses;Women;Trees,"Friends of the American Wing Fund, 2015",False,results_harvest_17_departments/met_metadata.csv,female,18th c. CE,other
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",The American Wing,,Peru (Cuzco),Oil and gold on canvas,ca. 1770–75,1770,1775,Unknown,,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-18755-007.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18755-007.jpg,Angels;Christ,"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",False,results_harvest_17_departments/met_metadata.csv,unknown,18th c. CE,painting
853449,Portrait of Sor Juana de Nuestra Señora de Guadalupe,The American Wing,,New Spain (present-day Mexico),Oil on canvas,1797,1797,1797,Domingo Ortiz,Mexican,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-25528-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-25528-001.jpg,,"Purchase, Mary Trumbull Adams Trust Fund, 2021",True,results_harvest_17_departments/met_metadata.csv,male,18th c. CE,painting
4895,Vase,The American Wing,,American,Porcelain,1902,1902,1902,M. Louise McLaughlin,American,Female,1847.0,1939.0,https://images.metmuseum.org/CRDImages/ad/original/DP-26109-003.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-26109-003.jpg,,"Gift of Betty G. Hut and Robert A. Hut, 2021",False,results_harvest_17_departments/met_metadata.csv,female,20th c. CE,other
12791,Gabriel Manigault,The American Wing,,American,Oil on canvas,1757,1757,1757,Jeremiah Theus,American,,1716.0,1774.0,https://images.metmuseum.org/CRDImages/ad/original/DP239227.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239227.jpg,Men;Portraits,"Fletcher Fund, 1928",False,results_harvest_17_departments/met_metadata.csv,male,18th c. CE,painting
12793,Mrs. Gabriel Manigault,The American Wing,,American,Oil on canvas,1757,1757,1757,Jeremiah Theus,American,,1716.0,1774.0,https://images.metmuseum.org/CRDImages/ad/original/DP239228.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239228.jpg,Portraits;Women,"Fletcher Fund, 1928",False,results_harvest_17_departments/met_metadata.csv,male,18th c. CE,painting
4832,Sugar bowl,The American Wing,,American,Silver,1862–63,1862,1863,Wood and Hughes,American,,1845.0,1899.0,https://images.metmuseum.org/CRDImages/ad/original/DP157655.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP157655.jpg,Factories;Men,"Friends of the American Wing Fund, 2006",False,results_harvest_17_departments/met_metadata.csv,unknown,19th c. CE,other
10771,Spring Landscape,The American Wing,,American,Oil on canvas,ca. 1853–56,1850,1856,Thomas Doughty,American,,1793.0,1856.0,https://images.metmuseum.org/CRDImages/ad/original/ap17.66.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ap17.66.jpg,Waterfalls;Hills;Landscapes,"Gift of George F. Shelton and Mrs. F. H. Markoe, in memory of their father, Theodore B. Shelton, 1917",False,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,painting
764091,Our Lady of Valvanera,The American Wing,,Peru (Cuzco),Oil and gold on canvas,ca. 1770–80,1765,1775,Unknown,,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-17034-002.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-17034-002.jpg,Birds;Men;Madonna and Child,"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",True,results_harvest_17_departments/met_metadata.csv,unknown,18th c. CE,painting
14007,Water-lily textile,The American Wing,,American,"Silk, printed, woven",1883–1900,1883,1900,Associated Artists,American,,1883.0,1907.0,https://images.metmuseum.org/CRDImages/ad/original/DP8057.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP8057.jpg,Flowers,"Gift of Mrs. Boudinot Keith, 1928",False,results_harvest_17_departments/met_metadata.csv,unknown,19th c. CE,print
13756,Sampler,The American Wing,,American,Silk embroidery on linen,1795,1795,1795,Mary Waine,American,Female,1783.0,1883.0,https://images.metmuseum.org/CRDImages/ad/original/197225.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/197225.jpg,Birds;Men;Women;Cows;Deer;Dogs;Horses,"Bequest of Flora E. Whiting, 1971",False,results_harvest_17_departments/met_metadata.csv,female,18th c. CE,other
320347,Feathered serpent head,The Michael C. Rockefeller Wing,Stone-Sculpture,Teotihuacan,"Stone, pigment",100-500 CE,100,500,Teotihuacan artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-39201-004.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39201-004.jpg,,"Museum Purchase, 1900",False,results_harvest_17_departments/met_metadata.csv,unknown,2th c. CE,other
10810,Arcadia,The American Wing,,American,Oil on canvas,ca. 1883,1880,1883,Thomas Eakins,American,,1844.0,1916.0,https://images.metmuseum.org/CRDImages/ad/original/DT221513.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT221513.jpg,Male Nudes;Female Nudes;Flutes,"Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",False,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,painting
309468,Jar with flying figure (the Oculate Being),The Michael C. Rockefeller Wing,Ceramics-Containers,Paracas,"Ceramic, post-fire paint",350 BCE–60 CE,-350,60,Paracas artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-24297-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24297-001.jpg,,"Gift of Nathan Cummings, 1974",False,results_harvest_17_departments/met_metadata.csv,unknown,4th c. BCE,other
14972,Decanter,The American Wing,,American,Blown and cut glass; clay cameo,ca. 1826–35,1826,1835,"Bakewell, Page & Bakewell",American,,1808.0,1882.0,https://images.metmuseum.org/CRDImages/ad/original/DT188.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT188.jpg,Benjamin Franklin;Men;Profiles,"Purchase, The Overbrook Foundation Gift, 1995",False,results_harvest_17_departments/met_metadata.csv,unknown,19th c. CE,other
13875,"Quilt, Presentation pattern",The American Wing,,American,Cotton and silk velvet,ca. 1849,1846,1849,Mary Hergenroder Simon,American,Female,1808.0,1877.0,https://images.metmuseum.org/CRDImages/ad/original/DT1825.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT1825.jpg,Flowers,"Sansbury-Mills Fund, 1974",False,results_harvest_17_departments/met_metadata.csv,female,19th c. CE,other
307599,Eagle relief,The Michael C. Rockefeller Wing,Stone-Sculpture,Toltec,"Andesite or dacite, Maya blue, stucco, red pigment",900–1200 CE,900,1200,Toltec artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-20487-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-20487-001.jpg,Eagles,"Gift of Frederic E. Church, 1893",False,results_harvest_17_departments/met_metadata.csv,unknown,10th c. CE,other
13607,Embroidered coverlet,The American Wing,,American,Wool embroidery on linen/cotton,1770,1770,1770,Mary Breed,American,Female,1751.0,1787.0,https://images.metmuseum.org/CRDImages/ad/original/DT11599.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT11599.jpg,Birds;Flowers;Leaves,"Rogers Fund, 1922",False,results_harvest_17_departments/met_metadata.csv,female,18th c. CE,other
310073,Grere'o (shield),The Michael C. Rockefeller Wing,Textiles-Non-Woven,Solomon Islands,"Fiber, parinarium-nut paste, chambered-nautilus shell, pigment",Early to mid-19th century,1800,1865,Solomon Islands artist,,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-23190-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23190-001.jpg,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972",True,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,other
13877,"Quilt, Album pattern",The American Wing,,American,Cotton,begun 1846,1846,1846,Brown and Turner families,,,,,https://images.metmuseum.org/CRDImages/ad/original/DP332444.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP332444.jpg,Eagles;Flowers,"Bequest of Margaret Brown Potvin, 1987",False,results_harvest_17_departments/met_metadata.csv,unknown,19th c. CE,other
315052,Effigy bottle,The Michael C. Rockefeller Wing,Ceramics-Containers,Wari,"Ceramic, slip",650–1000 CE,650,1000,Wari artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP-24258-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24258-001.jpg,,"Purchase, Mary R. Morgan Gift, 1987",False,results_harvest_17_departments/met_metadata.csv,unknown,7th c. CE,other
310364,Vessel with mythological scene,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,"Ceramic, slip",600–800 CE,600,800,Metropolitan Painter,,,600.0,800.0,https://images.metmuseum.org/CRDImages/ao/original/DP-576-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-576-001.jpg,Men;Mythical Creatures;Dogs;Serpents;Deities,"The Michael C. Rockefeller Memorial Collection, Purchase, Nelson A. Rockefeller Gift, 1968",True,results_harvest_17_departments/met_metadata.csv,unknown,7th c. CE,other
309385,Double-chambered bottle with mouse,The Michael C. Rockefeller Wing,Ceramics-Containers,Recuay,"Ceramic, slip",200–700 CE,200,700,Recuay artist(s),,,,,https://images.metmuseum.org/CRDImages/ao/original/DP102151.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP102151.jpg,Mice,"Gift of Nathan Cummings, 1966",False,results_harvest_17_departments/met_metadata.csv,unknown,3th c. CE,other
317877,Processional Cross,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,Brass,14th–15th century,1300,1500,Northern Highlands artist,,,,,https://images.metmuseum.org/CRDImages/ao/original/DP100984.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP100984.jpg,,"Purchase, Elaine Rosenberg Gift and funds from various donors, 1998",False,results_harvest_17_departments/met_metadata.csv,unknown,14th c. CE,other
13576,Embroidered Carpet,The American Wing,,American,"Wool, embroidered in chain-stitch",1832–35,1832,1835,Zeruah H. Guernsey Caswell,American,Female,1805.0,1895.0,https://images.metmuseum.org/CRDImages/ad/original/DT823.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT823.jpg,Birds;Cats;Dogs;Flowers;Plants,"Gift of Katharine Keyes, in memory of her father, Homer Eaton Keyes, 1938",False,results_harvest_17_departments/met_metadata.csv,female,19th c. CE,other
897907,Armchair,The American Wing,,American,"Cherry, white pine, modern upholstery",ca. 1781,1776,1786,Eliphalet Chapin,American,,1741.0,1807.0,https://images.metmuseum.org/CRDImages/ad/original/DP-29207-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-29207-001.jpg,,"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 2023",False,results_harvest_17_departments/met_metadata.csv,unknown,18th c. CE,other
788188,Gold-inlaid Colt Model 1849 Pocket Revolver (serial no. 63306),Arms and Armor,Firearms-Pistols-Revolvers,"American, Hartford, Connecticut","Steel, copper alloy, gold, wood (walnut)",ca. 1853,1848,1858,Samuel Colt,American,,1814.0,1862.0,https://images.metmuseum.org/CRDImages/aa/original/DP-17928-001.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-17928-001.jpg,,"Gift of The Robert M. Lee Foundation, in celebration of the Museum’s 150th Anniversary, 2018",False,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,other
23944,Armor of Emperor Ferdinand I (1503–1564),Arms and Armor,Armor,"German, Nuremberg","Steel, brass, leather",dated 1549,1549,1549,Kunz Lochner,German,,1510.0,1567.0,https://images.metmuseum.org/CRDImages/aa/original/DP-12881-007.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-12881-007.jpg,Madonna and Child,"Purchase, Rogers Fund and George D. Pratt Gift, 1933",True,results_harvest_17_departments/met_metadata.csv,unknown,16th c. CE,other
788195,"Gold-inlaid Colt Model 1851 Navy Revolver (serial no. 20133), with Case and Accessories",Arms and Armor,Firearms-Pistols-Revolvers,"American, Hartford, Connecticut","Steel, copper alloy, gold, wood (walnut), textile, glass, cork, bone, pewter, paper",ca. 1853,1848,1858,Samuel Colt,American,,1814.0,1862.0,https://images.metmuseum.org/CRDImages/aa/original/DP-18814-001.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-18814-001.jpg,,"Gift of The Robert M. Lee Foundation, in celebration of the Museum’s 150th Anniversary, 2018",False,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,other
13565,Bed rug,The American Wing,,American,Wool embroidered with wool,1796,1796,1796,N. L.,American,,,9999.0,https://images.metmuseum.org/CRDImages/ad/original/DT11600.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT11600.jpg,Flowers,"Rogers Fund, 1933",False,results_harvest_17_departments/met_metadata.csv,unknown,18th c. CE,other
814650,Vase (New World),The American Wing,,American,Porcelain with enameled and gilded decoration,ca. 1886–89,1883,1889,Joseph S. Potter,American,,1822.0,1904.0,https://images.metmuseum.org/CRDImages/ad/original/DP-23405-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-23405-001.jpg,,"Purchase, Ronald S. Kane Bequest, in memory of Berry B. Tracy, 2018",False,results_harvest_17_departments/met_metadata.csv,male,19th c. CE,other
788174,"Smith & Wesson .44 Double-Action Frontier Model Revolver decorated by Tiffany & Co. (serial no. 8401), with Case and Cleaning Rod",Arms and Armor,Firearms-Pistols-Revolvers,"American, Springfield, Massachusetts and New York","Steel, silver, ivory, textile (chamois), wood (California laurel)",ca. 1893,1888,1898,Smith & Wesson,American,,1852.0,9999.0,https://images.metmuseum.org/CRDImages/aa/original/DP-19201-002.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-19201-002.jpg,,"Gift of the Robert M. Lee Foundation, in celebration of the Museum’s 150th Anniversary, 2019",False,results_harvest_17_departments/met_metadata.csv,unknown,19th c. CE,other
