objectID,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,mean_value_score
701203,Sampler,Ann Magdalen Yates,female,18th c. CE,other,599,527,1.14,-0.004003479611128569,0.023644331842660904,-0.5186563730239868,-0.16633850693081817
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,unknown,18th c. CE,painting,470,624,0.75,-0.002808098215609789,0.027190694585442543,-0.5739521980285645,-0.18318986721957722
853449,Portrait of Sor Juana de Nuestra Señora de Guadalupe,Domingo Ortiz,male,18th c. CE,painting,510,624,0.82,-2.2290507331490517e-05,-0.007956786081194878,-0.01102963462471962,-0.006336237071081996
4895,Vase,M. Louise McLaughlin,female,20th c. CE,other,468,624,0.75,-0.0008581778965890408,0.0026197819970548153,-0.8852537274360657,-0.29449737444519997
12791,Gabriel Manigault,Jeremiah Theus,male,18th c. CE,painting,518,625,0.83,-0.0024900848511606455,-0.04531307891011238,-0.005383319221436977,-0.017728827660903335
12793,Mrs. Gabriel Manigault,Jeremiah Theus,male,18th c. CE,painting,520,624,0.83,-0.0006833840161561966,-0.015156826004385948,-0.007909364067018032,-0.007916524695853392
4832,Sugar bowl,Wood and Hughes,unknown,19th c. CE,other,486,624,0.78,-0.0010205790167674422,0.010286374017596245,-0.6603107452392578,-0.21701498341280967
10771,Spring Landscape,Thomas Doughty,male,19th c. CE,painting,600,421,1.43,-0.0007430933765135705,-0.012803067453205585,0.00033533782698214054,-0.0044036076675790055
764091,Our Lady of Valvanera,Unknown,unknown,18th c. CE,painting,599,512,1.17,-0.006761079654097557,0.20733124017715454,-0.013418694958090782,0.06238382185498873
14007,Water-lily textile,Associated Artists,unknown,19th c. CE,print,259,623,0.42,-0.01008534710854292,-0.008820757269859314,-0.22496767342090607,-0.0812912592664361
13756,Sampler,Mary Waine,female,18th c. CE,other,496,625,0.79,-0.010686071589589119,0.011371882632374763,-0.23487208783626556,-0.0780620922644933
320347,Feathered serpent head,Teotihuacan artist(s),unknown,2th c. CE,other,599,543,1.1,-0.0004381230100989342,0.013674159534275532,-0.7329913973808289,-0.2399184536188841
10810,Arcadia,Thomas Eakins,male,19th c. CE,painting,599,510,1.17,-0.0011845789849758148,0.01831643655896187,0.005365079268813133,0.007498978947599729
309468,Jar with flying figure (the Oculate Being),Paracas artist(s),unknown,4th c. BCE,other,599,535,1.12,-0.001817389391362667,0.041527628898620605,-0.45156532526016235,-0.13728502858430147
14972,Decanter,"Bakewell, Page & Bakewell",unknown,19th c. CE,other,500,625,0.8,-0.0002900234248954803,0.0014352244324982166,-0.8320112228393555,-0.27695534061058424
13875,"Quilt, Presentation pattern",Mary Hergenroder Simon,female,19th c. CE,other,599,611,0.98,-0.0028246240690350533,0.020528525114059448,-0.7017822861671448,-0.22802612837404013
307599,Eagle relief,Toltec artist(s),unknown,10th c. CE,other,599,540,1.11,-0.0018539353040978312,0.013592427596449852,-0.5779862403869629,-0.18874924936487028
13607,Embroidered coverlet,Mary Breed,female,18th c. CE,other,599,560,1.07,-0.002700608689337969,0.019309064373373985,-0.729927122592926,-0.23777288896963
310073,Grere'o (shield),Solomon Islands artist,male,19th c. CE,other,315,625,0.5,-0.000715334783308208,0.0036555170081555843,-0.527302622795105,-0.17478748019008586
13877,"Quilt, Album pattern",Brown and Turner families,unknown,19th c. CE,other,599,583,1.03,-0.007207726128399372,0.030990740284323692,-0.6322424411773682,-0.20281980900714794
315052,Effigy bottle,Wari artist(s),unknown,7th c. CE,other,460,625,0.74,-0.0004659912665374577,0.0093826400116086,-0.7232365012168884,-0.23810661749060577
