objectID,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,mean_value_score
701203,Sampler,Ann Magdalen Yates,female,18th c. CE,other,599,527,1.14,0.0027737580239772797,0.08360885828733444,-0.3773678243160248,-0.09699506933490436
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,unknown,18th c. CE,painting,470,624,0.75,0.05621803179383278,0.136489138007164,0.07270689308643341,0.08847135429581006
853449,Portrait of Sor Juana de Nuestra Señora de Guadalupe,Domingo Ortiz,male,18th c. CE,painting,510,624,0.82,0.10841165482997894,0.11476235091686249,0.005918271839618683,0.07636409252882004
4895,Vase,M. Louise McLaughlin,female,20th c. CE,other,468,624,0.75,-0.00015966591308824718,0.013576935976743698,-0.7650545835494995,-0.25054577116194804
12791,Gabriel Manigault,Jeremiah Theus,male,18th c. CE,painting,518,625,0.83,0.0068297479301691055,-0.13125821948051453,0.0015634832670912147,-0.04095499609441807
12793,Mrs. Gabriel Manigault,Jeremiah Theus,male,18th c. CE,painting,520,624,0.83,0.003097869222983718,-0.0480010062456131,-0.002336131641641259,-0.015746422888090212
4832,Sugar bowl,Wood and Hughes,unknown,19th c. CE,other,486,624,0.78,9.09704904188402e-05,0.008332548663020134,-0.21047019958496094,-0.06734889347717399
10771,Spring Landscape,Thomas Doughty,male,19th c. CE,painting,600,421,1.43,0.06630972027778625,-0.1080852597951889,0.00044135298230685294,-0.013778062178365266
764091,Our Lady of Valvanera,Unknown,unknown,18th c. CE,painting,599,512,1.17,0.25831136107444763,0.40652376413345337,0.0372333899140358,0.23402283837397894
14007,Water-lily textile,Associated Artists,unknown,19th c. CE,print,259,623,0.42,-1.3166703865863383e-05,0.00045683979988098145,-0.013279900886118412,-0.004278742596701098
13756,Sampler,Mary Waine,female,18th c. CE,other,496,625,0.79,-0.0006534145213663578,0.0035639572888612747,-0.025085145607590675,-0.0073915342800319195
320347,Feathered serpent head,Teotihuacan artist(s),unknown,2th c. CE,other,599,543,1.1,-4.382531642477261e-06,4.859106411458924e-06,-0.0038397652097046375,-0.0012797628783118853
10810,Arcadia,Thomas Eakins,male,19th c. CE,painting,599,510,1.17,0.09244926273822784,-0.5939363241195679,0.0005321531789377332,-0.16698496940080076
309468,Jar with flying figure (the Oculate Being),Paracas artist(s),unknown,4th c. BCE,other,599,535,1.12,-0.0012239028001204133,0.0005269550601951778,-0.02790381945669651,-0.009533589065540582
14972,Decanter,"Bakewell, Page & Bakewell",unknown,19th c. CE,other,500,625,0.8,6.297002983046696e-06,0.0016167119611054659,-0.183748260140419,-0.06070841705877683
13875,"Quilt, Presentation pattern",Mary Hergenroder Simon,female,19th c. CE,other,599,611,0.98,0.0006090326351113617,0.7047673463821411,-0.0016827583312988281,0.23456454022865122
307599,Eagle relief,Toltec artist(s),unknown,10th c. CE,other,599,540,1.11,-8.702681225258857e-05,0.007567574270069599,-0.0848422646522522,-0.02578723906481173
13607,Embroidered coverlet,Mary Breed,female,18th c. CE,other,599,560,1.07,4.357931902632117e-05,0.14869804680347443,-0.019364865496754646,0.0431255868752487
310073,Grere'o (shield),Solomon Islands artist,male,19th c. CE,other,315,625,0.5,5.8453213569009677e-05,0.0004193436761852354,-0.008210068568587303,-0.0025774238929443527
13877,"Quilt, Album pattern",Brown and Turner families,unknown,19th c. CE,other,599,583,1.03,-6.598136678803712e-05,0.5124944448471069,-0.0015169517137110233,0.17030383725553597
315052,Effigy bottle,Wari artist(s),unknown,7th c. CE,other,460,625,0.74,-0.0003769623872358352,0.00020900664094369859,-0.1832798421382904,-0.06114926596152751
310364,Vessel with mythological scene,Metropolitan Painter,unknown,7th c. CE,other,462,625,0.74,-0.004642564337700605,0.004511438310146332,-0.09234818816184998,-0.03082643806313475
309385,Double-chambered bottle with mouse,Recuay artist(s),unknown,3th c. CE,other,592,625,0.95,-0.003237852593883872,0.0009253904572688043,-0.3647771179676056,-0.12236319336807355
317877,Processional Cross,Northern Highlands artist,unknown,14th c. CE,other,477,625,0.76,-1.1716685548890382e-05,0.0002315350720891729,-0.5440505743026733,-0.181276918638711
13576,Embroidered Carpet,Zeruah H. Guernsey Caswell,female,19th c. CE,other,585,625,0.94,-0.014762401580810547,0.7033495903015137,-0.01500038430094719,0.2245289348065853
