century,female,male,unknown
11th c. CE,0.0,0.0,100.0
13th c. CE,0.0,0.0,100.0
14th c. CE,20.0,20.0,60.0
15th c. CE,3.7037037037037033,48.148148148148145,48.148148148148145
16th c. CE,0.0,50.0,50.0
17th c. CE,0.0,10.526315789473683,89.47368421052632
18th c. CE,15.789473684210526,21.052631578947366,63.1578947368421
19th c. CE,11.428571428571429,25.71428571428571,62.857142857142854
1th c. BCE,0.0,0.0,100.0
1th c. CE,0.0,0.0,100.0
20th c. CE,100.0,0.0,0.0
2th c. BCE,0.0,0.0,100.0
2th c. CE,33.33333333333333,0.0,66.66666666666666
3th c. BCE,0.0,0.0,100.0
3th c. CE,100.0,0.0,0.0
4th c. BCE,0.0,0.0,100.0
4th c. CE,100.0,0.0,0.0
5th c. CE,33.33333333333333,0.0,66.66666666666666
6th c. CE,33.33333333333333,0.0,66.66666666666666
7th c. CE,33.33333333333333,0.0,66.66666666666666
8th c. CE,0.0,0.0,100.0
9th c. BCE,0.0,0.0,100.0
9th c. CE,0.0,0.0,100.0
unknown,0.0,0.0,100.0
